Run No 	 Compute Time (ms) 	 Avg Compute Time (ms) 	 tConvolveRGB 	 treluq7_1 	 tmaxpool_1 	 tconvolveQ7Fast_1 	 treluq7_2 	 tmaxpool_2 	 tconvolveQ7Fast_2 	 treluq7_3 	 tmaxpool_3 	 tfullconnect 	 tsoftmax
1 	 4.029000 	 4.029000 	 2.653000 	 0.099000 	 0.176000 	 0.796000 	 0.013000 	 0.021000 	 0.242000 	 0.003000 	 0.011000 	 0.008000 	 0.000000
2 	 3.919000 	 3.974000 	 2.545000 	 0.097000 	 0.200000 	 0.787000 	 0.012000 	 0.022000 	 0.237000 	 0.004000 	 0.010000 	 0.003000 	 0.000000
3 	 3.887000 	 3.945000 	 2.542000 	 0.098000 	 0.171000 	 0.788000 	 0.012000 	 0.023000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
4 	 3.884000 	 3.929750 	 2.540000 	 0.098000 	 0.173000 	 0.786000 	 0.012000 	 0.021000 	 0.236000 	 0.004000 	 0.010000 	 0.002000 	 0.000000
5 	 4.526000 	 4.049000 	 3.130000 	 0.099000 	 0.172000 	 0.786000 	 0.012000 	 0.021000 	 0.282000 	 0.003000 	 0.015000 	 0.002000 	 0.001000
6 	 4.318000 	 4.093833 	 2.967000 	 0.099000 	 0.173000 	 0.788000 	 0.013000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
7 	 4.172000 	 4.105000 	 2.821000 	 0.098000 	 0.174000 	 0.789000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.010000 	 0.003000 	 0.000000
8 	 3.897000 	 4.079000 	 2.551000 	 0.098000 	 0.173000 	 0.787000 	 0.012000 	 0.022000 	 0.237000 	 0.004000 	 0.010000 	 0.002000 	 0.001000
9 	 3.884000 	 4.057333 	 2.540000 	 0.098000 	 0.173000 	 0.787000 	 0.012000 	 0.021000 	 0.236000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
10 	 4.051000 	 4.056700 	 2.653000 	 0.098000 	 0.176000 	 0.821000 	 0.012000 	 0.022000 	 0.250000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
11 	 3.935000 	 4.045636 	 2.584000 	 0.098000 	 0.173000 	 0.791000 	 0.012000 	 0.022000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
12 	 4.290000 	 4.066000 	 2.903000 	 0.102000 	 0.171000 	 0.814000 	 0.012000 	 0.022000 	 0.247000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
13 	 4.580000 	 4.105538 	 2.570000 	 0.127000 	 0.171000 	 1.134000 	 0.016000 	 0.027000 	 0.497000 	 0.006000 	 0.011000 	 0.016000 	 0.000000
14 	 4.364000 	 4.124000 	 2.920000 	 0.100000 	 0.226000 	 0.818000 	 0.012000 	 0.022000 	 0.241000 	 0.003000 	 0.011000 	 0.005000 	 0.000000
15 	 3.893000 	 4.108600 	 2.538000 	 0.101000 	 0.175000 	 0.793000 	 0.012000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
16 	 4.116000 	 4.109062 	 2.760000 	 0.103000 	 0.172000 	 0.789000 	 0.012000 	 0.022000 	 0.237000 	 0.003000 	 0.011000 	 0.003000 	 0.001000
17 	 4.200000 	 4.114412 	 2.680000 	 0.099000 	 0.249000 	 0.830000 	 0.012000 	 0.021000 	 0.282000 	 0.003000 	 0.011000 	 0.006000 	 0.000000
18 	 4.124000 	 4.114944 	 2.689000 	 0.097000 	 0.173000 	 0.874000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
19 	 3.928000 	 4.105105 	 2.544000 	 0.099000 	 0.172000 	 0.823000 	 0.012000 	 0.022000 	 0.238000 	 0.004000 	 0.010000 	 0.003000 	 0.000000
20 	 3.888000 	 4.094250 	 2.542000 	 0.097000 	 0.174000 	 0.787000 	 0.012000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
21 	 4.198000 	 4.099190 	 2.840000 	 0.103000 	 0.174000 	 0.790000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
22 	 4.014000 	 4.095318 	 2.665000 	 0.099000 	 0.171000 	 0.789000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
23 	 3.934000 	 4.088304 	 2.584000 	 0.102000 	 0.171000 	 0.788000 	 0.013000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
24 	 4.394000 	 4.101042 	 3.044000 	 0.099000 	 0.172000 	 0.787000 	 0.013000 	 0.021000 	 0.239000 	 0.003000 	 0.010000 	 0.003000 	 0.000000
25 	 4.672000 	 4.123880 	 2.610000 	 0.106000 	 0.179000 	 1.461000 	 0.014000 	 0.027000 	 0.249000 	 0.003000 	 0.011000 	 0.007000 	 0.000000
